date,raw_merchant_text,amount
2025-02-11,REED AND SONS *PURCHASE,325.13
2025-02-16,DISNEY+HOTSTAR,299.0
2025-02-16,AMAZON.IN PRIME,1499.0
2025-02-18,SPOTIFY P1A2B3,119.0
2025-02-18,GOOGLE*ONE STORAGE,130.0
2025-02-19,CULT FIT,999.0
2025-02-20,NETFLIX.COM,199.0
2025-03-01,GEORGE-YOUNG STORE,1730.54
2025-03-02,"HORTON, COOK AND BROWN PVT LTD",1636.02
2025-03-04,BRADFORD GROUP *PURCHASE,2273.02
2025-03-10,BENSON-DUNN PVT LTD,2204.99
2025-03-11,YATES INC RETAIL,372.34
2025-03-18,REED LTD RETAIL,1456.53
2025-03-20,HOTSTAR SUB,299.0
2025-03-20,SPOTIFY*PREMIUM,119.0
2025-03-20,CULT FIT,999.0
2025-03-22,GOOGLE*ONE STORAGE,130.0
2025-03-22,NETFLIX*STREAM,199.0
2025-04-03,"HUNT, WHITE AND COOPER STORE",692.22
2025-04-17,NETFLIX.COM 8829 CA,199.0
2025-04-17,CULT FIT,999.0
2025-04-18,DISNEY+HOTSTAR,299.0
2025-04-18,"LEWIS, CARTER AND REID STORE",338.83
2025-04-18,SPOTIFY P1A2B3,119.0
2025-04-18,GOOGLE ONE,130.0
2025-05-07,"MEDINA, BRADLEY AND DONOVAN RETAIL",1262.75
2025-05-15,VAUGHN-TAYLOR PVT LTD,344.94
2025-05-17,CULT FIT,999.0
2025-05-18,HOTSTAR SUB,299.0
2025-05-18,NETFLIX.COM 8829 CA,199.0
2025-05-18,NGUYEN AND SONS PVT LTD,1757.81
2025-05-18,GOOGLE ONE,130.0
2025-05-19,SPOTIFY.COM,119.0
2025-05-26,ANDERSON PLC RETAIL,2025.69
2025-06-07,"WEST, DOUGLAS AND WALLACE PVT LTD",2575.1
2025-06-16,NETFLIX*STREAM,199.0
2025-06-16,HOTSTAR.COM,299.0
2025-06-16,GOOGLE*ONE STORAGE,130.0
2025-06-19,SPOTIFY P1A2B3,119.0
2025-06-20,CULT FIT,999.0
2025-07-04,TODD PLC *PURCHASE,1241.14
2025-07-12,PAUL-TAYLOR *PURCHASE,2360.92
2025-07-13,HUBER GROUP PVT LTD,2827.71
2025-07-16,NETFLIX.COM 8829 CA,199.0
2025-07-16,GOOGLE ONE,130.0
2025-07-18,CULTFIT*SUB,999.0
2025-07-19,HOTSTAR SUB,299.0
2025-07-19,SPOTIFY*PREMIUM,119.0
2025-08-04,BAKER LLC PVT LTD,93.54
2025-08-10,NORTON LTD RETAIL,1977.69
2025-08-13,PAYNE LLC RETAIL,291.85
2025-08-15,GOOGLE*ONE STORAGE,130.0
2025-08-17,SPOTIFY P1A2B3,119.0
2025-08-17,CULT.FIT MONTHLY,999.0
2025-08-17,NETFLIX*STREAM,249.0
2025-08-18,"POTTER, WILLIAMS AND BRANCH RETAIL",2783.23
2025-08-19,HOTSTAR SUB,299.0
2025-08-20,"MORROW, JOHNSON AND THOMPSON STORE",1954.23
2025-08-24,BURKE PLC STORE,1548.09
2025-08-25,GONZALEZ-NELSON PVT LTD,1485.68
2025-09-02,RICHARDS-FISHER PVT LTD,56.36
2025-09-08,CARTER LTD PVT LTD,2220.42
2025-09-11,MILLER-WARD RETAIL,1470.01
2025-09-12,"MCMAHON, GREER AND GUERRA PVT LTD",1201.74
2025-09-15,HOTSTAR SUB,299.0
2025-09-15,CULTFIT*SUB,999.0
2025-09-15,SPOTIFY P1A2B3,119.0
2025-09-16,NETFLIX*STREAM,249.0
2025-09-16,GOOGLE*ONE STORAGE,130.0
2025-09-20,HARMON-ROACH RETAIL,1632.04
2025-09-20,PALMER-HUNT STORE,2629.73
2025-09-22,BREWER GROUP RETAIL,167.24
2025-10-04,WILEY-KELLY PVT LTD,1616.82
2025-10-05,JACKSON-ELLIOTT RETAIL,615.19
2025-10-11,KELLEY-SHELTON *PURCHASE,976.84
2025-10-14,CULTFIT*SUB,1199.0
2025-10-16,NETFLIX.COM 8829 CA,249.0
2025-10-17,HOTSTAR.COM,299.0
2025-10-18,GOOGLE*ONE STORAGE,130.0
2025-10-18,SPOTIFY.COM,119.0
2025-10-23,HALL-WILSON RETAIL,610.2
2025-10-27,"NORRIS, CARRILLO AND LOPEZ RETAIL",819.26
2025-11-08,POTTS AND SONS RETAIL,217.79
2025-11-08,"HOWARD, ESTRADA AND ROSS PVT LTD",2592.37
2025-11-11,"RICHARDS, WHITE AND GONZALEZ RETAIL",197.92
2025-11-12,"JORDAN, WILLIAMS AND HUNTER RETAIL",1882.42
2025-11-14,NETFLIX*STREAM,249.0
2025-11-14,HOTSTAR.COM,299.0
2025-11-15,GOOGLE*ONE STORAGE,130.0
2025-11-15,SPOTIFY.COM,119.0
2025-11-15,CULT FIT,1199.0
2025-11-16,MARTIN LLC RETAIL,1248.92
2025-11-21,"HARRISON, HAYES AND COLLINS *PURCHASE",436.09
2025-11-22,VILLA-WILLIAMS RETAIL,747.32
2025-11-26,CONNER-ROBERTS PVT LTD,2561.46
2025-11-27,FARRELL-COX *PURCHASE,1710.83
2025-12-14,CULT FIT,1199.0
2025-12-15,NETFLIX.COM,249.0
2025-12-16,GOOGLE ONE,130.0
2025-12-17,SPOTIFY.COM,149.0
2025-12-17,DISNEY+HOTSTAR,299.0
2025-12-19,"THOMAS, WILSON AND HOWARD RETAIL",1989.25
2025-12-28,"WOODS, GRIMES AND SAUNDERS RETAIL",463.54
2025-12-28,TERRY INC RETAIL,229.82
2026-01-06,RIVERA LLC *PURCHASE,975.13
2026-01-12,NETFLIX.COM,249.0
2026-01-12,CULT FIT,1199.0
2026-01-15,HOTSTAR.COM,299.0
2026-01-16,GOOGLE*ONE STORAGE,130.0
2026-01-16,SPOTIFY*PREMIUM,149.0
2026-01-18,LUNA-WILSON *PURCHASE,1398.81
2026-01-18,SOSA GROUP RETAIL,222.53
2026-01-21,MARTINEZ-CHASE PVT LTD,983.29
2026-01-31,WOLF PLC RETAIL,228.81
2026-02-10,POOLE LTD RETAIL,2366.13
2026-02-12,"MEDINA, BENNETT AND PHILLIPS PVT LTD",250.48
2026-02-12,NETFLIX.COM,249.0
2026-02-13,SPOTIFY*PREMIUM,149.0
2026-02-13,CULT FIT,1199.0
2026-02-15,GOOGLE*ONE STORAGE,130.0
2026-02-15,HOTSTAR SUB,299.0
2026-02-19,AMZN PRIME*MEMBER,1499.0
2026-02-22,GILL-JOHNSON RETAIL,272.39
2026-03-07,KELLY-DONOVAN PVT LTD,2810.42
2026-03-08,HARPER-POTTER STORE,1973.83
2026-03-11,JOSEPH GROUP RETAIL,2002.52
2026-03-14,HOTSTAR.COM,299.0
2026-03-14,NETFLIX.COM,249.0
2026-03-14,SPOTIFY P1A2B3,149.0
2026-03-16,GOOGLE ONE,130.0
2026-03-17,CULT FIT,1199.0
2026-03-20,TATE-BAKER PVT LTD,2600.72
2026-03-30,HERNANDEZ PLC PVT LTD,252.14
2026-04-02,STEWART-SANTIAGO RETAIL,2762.19
2026-04-13,CULT FIT,1199.0
2026-04-14,HOTSTAR.COM,299.0
2026-04-15,SPOTIFY.COM,149.0
2026-04-15,GOOGLE*ONE STORAGE,130.0
2026-04-15,NETFLIX.COM 8829 CA,299.0
2026-04-20,"BECK, BENSON AND HANSEN STORE",1956.23
2026-04-21,"HERNANDEZ, HENDERSON AND WILLIAMS STORE",2598.32
2026-05-01,"RICHARDSON, KIRK AND BAUER STORE",2411.75
2026-05-12,SPOTIFY P1A2B3,149.0
2026-05-13,GOOGLE ONE 100GB,130.0
2026-05-14,NETFLIX*STREAM,299.0
2026-05-14,CULT.FIT MONTHLY,1199.0
2026-05-14,DISNEY+HOTSTAR,299.0
2026-05-30,"MOON, CHAMBERS AND PITTS *PURCHASE",891.49
2026-06-06,"PARKS, RICHARDS AND LOGAN PVT LTD",833.56
2026-06-11,GOOGLE*ONE STORAGE,130.0
2026-06-11,SANCHEZ INC RETAIL,2433.67
2026-06-12,SPOTIFY P1A2B3,149.0
2026-06-15,CULT.FIT MONTHLY,1199.0
2026-06-15,DISNEY+HOTSTAR,299.0
2026-06-15,NETFLIX.COM,299.0
2026-06-17,NOLAN INC STORE,535.68
2026-06-24,SOLIS GROUP RETAIL,1414.75
2026-06-26,"MILLER, CANTU AND VILLEGAS *PURCHASE",2790.6
2026-07-03,WILLIAMS AND SONS PVT LTD,2104.94
2026-07-11,CULT FIT,1199.0
2026-07-11,DISNEY+HOTSTAR,299.0
2026-07-12,SPOTIFY.COM,149.0
2026-07-13,NETFLIX.COM 8829 CA,299.0
2026-07-14,GOOGLE ONE,130.0
2026-07-15,GARNER PLC PVT LTD,1717.42
2026-07-20,"WALKER, VASQUEZ AND BURGESS *PURCHASE",2198.23
2026-07-23,BARRETT-JOHNSON *PURCHASE,1644.73
2026-07-25,PERKINS AND SONS STORE,209.81
2026-07-26,RAMIREZ-FIELDS PVT LTD,591.29
2026-07-26,"COLE, CAMPBELL AND WASHINGTON PVT LTD",2712.21
2026-08-01,ROBERTSON PLC PVT LTD,77.48
2026-08-10,CAMPBELL PLC RETAIL,1542.36
2026-08-11,NETFLIX.COM 8829 CA,299.0
2026-08-11,HOTSTAR SUB,299.0
2026-08-12,CULT FIT,1199.0
2026-08-13,SPOTIFY.COM,149.0
2026-08-13,GOOGLE ONE 100GB,130.0
